surface-air-temperature-mean,temperature-celsius
279.01,6.86
279.12,6.97
279.24,7.09
279.35,7.2
279.47,7.32
279.58,7.43
279.9,7.75
280.21,8.06
280.52,8.37
280.83,8.68
281.14,8.99
281.02,8.87
278.97,6.82
278.85,6.7
278.72,6.57
279.23,7.08
279.73,7.58
280.23,8.08
296.78,24.63
297.29,25.14
297.79,25.64
298.29,26.14
279.47,7.32
279.4,7.25
279.52,7.37
279.63,7.48
279.75,7.6
279.86,7.71
280.08,7.93
280.15,8.0
280.46,8.31
280.77,8.62
281.08,8.93
281.4,9.25
281.24,9.09
281.1,8.95
279.64,7.49
279.52,7.37
279.4,7.25
279.28,7.13
279.16,7.01
279.38,7.23
280.05,7.9
280.68,8.53
281.44,9.29
281.93,9.78
282.38,10.23
282.88,10.73
283.39,11.24
283.89,11.74
297.43,25.28
297.93,25.78
298.44,26.29
298.83,26.68
298.79,26.64
298.83,26.68
298.81,26.66
279.32,7.17
279.92,7.77
280.03,7.88
279.8,7.65
279.91,7.76
280.03,7.88
280.14,7.99
280.33,8.18
280.58,8.43
280.58,8.43
280.71,8.56
281.02,8.87
281.34,9.19
281.65,9.5
281.5,9.35
281.34,9.19
281.18,9.03
281.05,8.9
280.32,8.17
280.2,8.05
280.08,7.93
279.96,7.81
279.84,7.69
279.72,7.57
279.6,7.45
279.59,7.44
280.03,7.88
280.65,8.5
281.37,9.22
281.99,9.84
282.64,10.49
283.33,11.18
284.16,12.01
284.9,12.75
285.14,12.99
285.54,13.39
286.04,13.89
286.54,14.39
287.04,14.89
298.58,26.43
298.87,26.72
298.83,26.68
298.79,26.64
